cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
0.1,30,11,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model050
0.1,30,11,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model050
0.1,30,11,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model050
0.1,30,11,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model050
0.1,30,11,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model050
1e-10,5,21,accuracy,multiclass,0.6708469833469833,10,0.008369410167989267,Preprocessor1_Model051
1e-10,5,21,gain_capture,macro,0.7964678162301677,10,0.010140189680024428,Preprocessor1_Model051
1e-10,5,21,precision,macro,0.7060935326105986,10,0.007990272659685934,Preprocessor1_Model051
1e-10,5,21,recall,macro,0.6766374100667285,10,0.010054391035285564,Preprocessor1_Model051
1e-10,5,21,roc_auc,hand_till,0.8993140040564076,10,0.005051858949483404,Preprocessor1_Model051
1.7782794100389228e-8,5,21,accuracy,multiclass,0.6708469833469833,10,0.008369410167989267,Preprocessor1_Model052
1.7782794100389228e-8,5,21,gain_capture,macro,0.7964678162301677,10,0.010140189680024428,Preprocessor1_Model052
1.7782794100389228e-8,5,21,precision,macro,0.7060935326105986,10,0.007990272659685934,Preprocessor1_Model052
1.7782794100389228e-8,5,21,recall,macro,0.6766374100667285,10,0.010054391035285564,Preprocessor1_Model052
1.7782794100389228e-8,5,21,roc_auc,hand_till,0.8993140040564076,10,0.005051858949483404,Preprocessor1_Model052
